year,code,Finished consultant episodes,Admissions,Male,Emergency,Waiting list,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Day case,FCE Bed Days
1998,A15 Resp TB bacteriologically and histologically confirmed,979,734,597,450,214,16.6,6,20.5,11,47,25,592,234,128,98,11849.95145
1998,A16 Respiratory TB not confirmed bact or histologically ,2388,1776,1482,1269,360,12.1,5,16.2,10,47,115,1382,561,329,158,26311.02249
1998,A17 Tuberculosis of nervous system,271,189,157,101,25,24.9,7,83.7,15,39,36,163,64,8,11,5295.469863
1998,A18 Tuberculosis of other organs,1148,910,524,396,411,33.7,10,17.8,8,40,98,805,175,69,146,13494.59959
1998,A19 Miliary tuberculosis,165,115,89,92,15,22.8,5,21.8,14,40,8,118,24,14,5,2460.910027
1998,B15 Acute hepatitis A ,454,373,288,349,13,16.5,10,4.7,4,32,64,342,32,15,7,1796.914178
1998,B16 Acute hepatitis B ,561,441,382,284,118,32.7,15,7,4,38,20,457,52,23,54,2775.832329
1998,B18 Chronic viral hepatitis ,2499,2302,1730,272,1750,50.1,31,4.2,1,42,57,2087,262,31,868,5695.874137
1998,B37 Candidiasis ,2559,2200,1091,1054,823,41.6,26,5.2,2,42,495,1011,514,534,820,7304.068671
1999,A15 Respiratory TB bacteriologically and histologically confirmed,974,681,590,444,183,11.6,6,16.3,10,48,20,600,198,153,70,10053.25151
1999,A16 Respiratory TB not confirmed bact or histologically ,2313,1729,1380,1250,312,18.9,5,16.5,10,45,125,1413,459,311,158,25211.75979
1999,A17 Tuberculosis of nervous system,291,192,150,110,26,25.8,8,42.9,15,33,64,177,40,10,14,4585.740274
1999,A18 Tuberculosis of other organs,1278,1050,617,450,455,29.1,10,17.2,7,40,128,849,219,81,154,13179.70864
1999,A19 Miliary tuberculosis,155,103,86,74,15,6.4,1,23.8,14,43,19,89,31,14,5,2393.694151
1999,B15 Acute hepatitis A ,460,392,278,358,17,11.5,7,3.8,3,25,138,289,22,10,15,1458.563836
1999,B16 Acute hepatitis B ,544,444,390,277,118,22.2,13,7.2,4,38,21,447,60,8,38,2805.645233
1999,B18 Chronic viral hepatitis ,2709,2566,1872,269,1768,51.4,37,3.1,1,42,49,2369,243,25,1010,4981.274888
1999,B37 Candidiasis ,2594,2215,1059,1118,805,44.3,26,5,1,42,511,1002,531,533,811,7028.693025
2000,A15 Respiratory TB bacteriologically and histologically confirmed,962,693,562,440,166,15,7,16.3,11,47,26,616,181,132,93,10769.86968
2000,A16 Respiratory TB not confirmed bact. or histologically ,2285,1686,1369,1207,308,11,6,16.1,10,44,113,1422,429,298,189,24960.26388
2000,A17 Tuberculosis of nervous system,223,138,112,96,11,12,12,31.2,16,32,27,153,36,3,5,3953.763671
2000,A18 Tuberculosis of other organs,1181,879,558,450,327,30,13,17.5,8,41,57,851,189,83,112,13393.40203
2000,A19 Miliary tuberculosis,216,127,99,104,6,5,3,19.9,14,51,3,120,58,34,5,2671.771178
2000,B15 Acute hepatitis A ,500,386,315,361,12,21,5,5.2,4,29,105,348,24,20,8,2058.665096
2000,B16 Acute hepatitis B ,505,391,340,242,119,33,20,6.6,5,38,11,439,35,12,70,2269.511712
2000,B18 Chronic viral hepatitis ,2868,2712,1929,270,1433,58,37,3.7,1,44,39,2429,332,32,1392,4912.708356
2000,B37 Candidiasis ,2662,2212,1091,1045,754,45,24,5.7,1,43,476,1032,562,578,895,7362.212178
2001,A15 Resp TB bacteriologically and histologically confirmed,1032,730,580,466,150,17,7,18.8,13,47,27,625,211,163,103,12286.083
2001,A16 Respiratory TB not confirmed bact or histologically ,2371,1659,1391,1205,278,13,6,15.9,10,43,105,1509,451,287,190,23972.65596
2001,A17 Tuberculosis of nervous system,323,211,173,121,20,18,19,27.1,13,35,25,224,61,7,20,5502.582247
2001,A18 Tuberculosis of other organs,1195,941,552,457,340,32,13,17,8,39,70,878,159,80,177,12754.87693
2001,A19 Miliary tuberculosis,198,121,118,97,16,9,7,23.9,14,45,5,128,38,22,6,2934.319315
2001,B15 Acute hepatitis A ,504,389,316,369,11,9,7,5.7,4,27,87,371,21,20,6,2234.660671
2001,B16 Acute hepatitis B ,500,376,340,241,70,37,22,6.1,5,36,17,423,33,10,50,2072.171959
2001,B18 Chronic viral hepatitis ,3286,3125,2216,317,1601,70,43,3.6,1,43,26,2871,293,40,1678,5093.784767
2001,B37 Candidiasis ,2660,2166,1126,1060,689,42,26,5.8,1,43,498,1036,543,562,859,7497.820096
